Express Entry Draw #,Date,ITA,CRS,Program
282,"February 1, 2024","7,000",365,French language proficiency
281,"January 31, 2024",730,541,All programs
280,"January 23, 2024","1,040",543,All programs
279,"January 10, 2024","1,510",546,All programs
278,"December 21, 2023",400,386,Agriculture and Agri-food
277,"December 20, 2023",670,435,Transport occupations
276,"December 19, 2023","1,000",425,Trades occupations
275,"December 18, 2023","1,325",542,All programs
274,"December 8, 2023","5,900",481,STEM occupations
273,"December 7, 2023","1,000",470,French language proficiency
272,"December 6, 2023","4,750",561,All programs
271,"October 26, 2023","3,600",431,Healthcare occupations
270,"October 25, 2023",300,486,French language proficiency
269,"October 24, 2023","1,548",776,PNP
268,"October 10, 2023","3,725",500,All programs
267,"September 28, 2023",600,600,Agriculture and Agri-food
266,"September 27, 2023",500,500,French language proficiency
265,"September 26, 2023","3,000",504,All programs
264,"September 20, 2023","1,000",435,Transport occupations
263,"September 19, 2023","3,200",531,All programs
262,"August 15, 2023","4,300",496,All programs
261,"August 3, 2023","1,500",388,Trade occupations
260,"August 2, 2023",800,435,French language proficiency
259,"August 1, 2023","2,000",517,All programs
258,"July 12, 2023","3,800",375,French language proficiency
257,"July 11, 2023",800,505,All programs
256,"July 7, 2023","2,300",439,French language proficiency
255,"July 6, 2023","1,500",463,Healthcare occupations
254,"July 5, 2023",500,486,STEM occupations
253,"July 4, 2023",700,511,All programs
252,"June 28, 2023",500,476,Healthcare occupations
251,"June 27, 2023","4,300",486,All programs
250,"June 8, 2023","4,800",486,All programs
249,"May 24, 2023","4,800",488,All programs
248,"May 10, 2023",589,691,PNP
247,"April 26, 2023","3,500",483,All programs
246,"April 12, 2023","3,500",486,All programs
245,"March 29, 2023","7,000",481,All programs
244,"March 23, 2023","7,000",484,All programs
243,"March 15, 2023","7,000",490,All programs
242,"March 1, 2023",667,748,PNP
241,"February 15, 2023",699,791,PNP
240,"February 2, 2023","3,300",489,FSW
239,"February 1, 2023",893,733,PNP
238,"January 18, 2023","5,500",490,All programs
237,"January 11, 2023","5,500",507,All programs
236,"November 23, 2022","4,750",491,All programs
235,"November 9, 2022","4,750",494,All programs
234,"October 26, 2022","4,750",496,All programs
233,"October 12, 2022","4,250",500,All programs
232,"September 28, 2022","3,750",504,All Programs
231,"September 14, 2022","3,250",511,All programs
230,"August 31, 2022","2,750",516,All programs
229,"August 17, 2022","2,250",525,All programs
228,"August 3, 2022","2,000",533,All programs
227,"July 20, 2022","1,750",542,All programs
226,"July 6, 2022","1,500",557,All programs
225,"June 22, 2022",636,752,PNP
224,"June 8, 2022",932,796,PNP
223,"May 25, 2022",589,741,PNP
222,"May 11, 2022",545,753,PNP
221,"April 27, 2022",829,772,PNP
220,"April 13, 2022",787,782,PNP
219,"March 30, 2022",919,785,PNP
218,"March 16, 2022",924,754,PNP
217,"March 2, 2022","1,047",761,PNP
216,"February 16, 2022","1,082",710,PNP
215,"February 2, 2022","1,070",674,PNP
214,"January 19, 2022","1,036",745,PNP
213,"January 5, 2022",392,808,PNP
212,"December 22, 2021",746,720,PNP
211,"December 10, 2021",1032,698,PNP
210,"November 24, 2021",613,737,PNP
209,"November 10, 2021",775,685,PNP
208,"October 27, 2021",888,744,PNP
207,"October 13, 2021",681,721,PNP
206,"September 29, 2021",761,742,PNP
205,"September 15, 2021",521,732,PNP
204,"September 14, 2021","2,000",462,CEC
203,"September 1, 2021",635,764,PNP
202,"August 19th, 2021","3,000",403,CEC
201,"August 18th, 2021",463,751,PNP
200,"August 5th, 2021","3,000",404,CEC
199,"August 4th, 2021",512,760,PNP
198,"July 22nd, 2021","4,500",357,CEC
197,"July 21st, 2021",462,734,PNP
196,"July 8th, 2021","4,500",369,CEC
195,"July 7th, 2021",627,760,PNP
194,"June 24, 2021","6,000",357,CEC
193,"June 23, 2021","1,002",742,PNP
192,"June 10, 2021","6,000",368,CEC
191,"June 9, 2021",940,711,PNP
190,"May 31, 2021","5,956",380,CEC
189,"May 26, 2021",500,713,PNP
188,"May 20, 2021","1,842",397,CEC
187,"May 13, 2021","4,147",401,CEC
186,"May 12, 2021",557,752,PNP
185,"April 29, 2021","6,000",400,CEC
184,"April 28, 2021",381,717,PNP
183,"April 16, 2021","6,000",417,CEC
182,"April 14, 2021",266,753,PNP
181,"April 1, 2021","5,000",432,CEC
180,"March 31, 2021",284,778,PNP
179,"March 18, 2021","5,000",449,CEC
178,"March 17, 2021",183,682,PNP
177,"March 8, 2021",671,739,PNP
176,"February 13, 2021","27,332",75,CEC
175,"February 10, 2021",654,720,PNP
174,"January 21, 2021",4626,454,CEC
173,"January 20, 2021",374,741,PNP
172,"January 7, 2021",4750,461,CEC
171,"January 6, 2021",250,813,PNP
170,"December 23, 2020",5000,468,No program specified
169,"December 9, 2020",5000,469,No program specified
168,"November 25, 2020",5000,469,No program specified
167,"November 18, 2020",5000,472,No program specified
166,"November 05, 2020",4500,478,No program specified
170,"December 23, 2020",5000,468,No program specified
169,"December 9, 2020",5000,469,No program specified
168,"November 25, 2020",5000,469,No program specified
167,"November 18, 2020",5000,472,No program specified
166,"November 05, 2020",4500,478,No program specified
